GEOID,"Median value of owner-occupied unit (dollars), 2024","Median value of owner-occupied unit (dollars), 2024 (normalized)"
13067030104,330400.0,0.19991396924400473
13067030107,360600.0,0.2323905796322185
13067030108,530000.0,0.41456070545219914
13067030109,382600.0,0.2560490375309173
13067030110,365300.0,0.23744488654694054
13067030111,373100.0,0.2458328852564792
13067030112,290500.0,0.15700612969136465
13067030113,314000.0,0.18227766426497471
13067030220,363800.0,0.23583180987202926
13067030233,411500.0,0.287127648134208
13067030235,490200.0,0.37176040434455315
13067030236,570300.0,0.4578986987848156
13067030240,343600.0,0.214109043983224
13067030241,460300.0,0.33960640929132163
13067030242,372400.0,0.2450801161415206
13067030243,313400.0,0.18163243359501022
13067030244,470300.0,0.35036025379073016
13067030245,472500.0,0.3527260995806001
13067030246,228800.0,0.09065490913001398
13067030247,369000.0,0.2414238090117217
13067030248,306500.0,0.17421228089041832
13067030249,489300.0,0.3707925583396064
13067030250,515200.0,0.3986450155930745
13067030251,429300.0,0.3062694913431552
13067030252,532300.0,0.4170340896870631
13067030253,654900.0,0.5488762232498118
13067030254,289800.0,0.15625336057640607
13067030255,333300.0,0.2030325841488332
13067030256,632700.0,0.5250026884611249
13067030257,323200.0,0.1921712012044306
13067030258,272000.0,0.13711151736745886
13067030259,357200.0,0.22873427250241962
13067030260,295400.0,0.16227551349607486
13067030261,398700.0,0.27336272717496507
13067030262,497300.0,0.3793956339391332
13067030263,475300.0,0.3557371760404345
13067030264,610800.0,0.5014517690074202
13067030265,559900.0,0.4467147005054307
13067030266,512900.0,0.39617163135821054
13067030267,559500.0,0.44628454672545437
13067030268,474400.0,0.35476933003548766
13067030269,407500.0,0.28282611033444455
13067030270,422100.0,0.29852672330358104
13067030271,446500.0,0.3247661038821379
13067030272,325800.0,0.19496720077427682
13067030273,429900.0,0.3069147220131197
13067030274,326300.0,0.19550489299924723
13067030275,272800.0,0.13797182492741156
13067030276,547500.0,0.4333799333261641
13067030277,486300.0,0.3675664049897838
13067030278,385800.0,0.25949026777072803
13067030319,545200.0,0.43090654909130016
13067030322,445800.0,0.32401333476717925
13067030324,353100.0,0.22432519625766212
13067030326,639600.0,0.5324228411657167
13067030327,470300.0,0.35036025379073016
13067030329,432000.0,0.3091730293579955
13067030331,624700.0,0.516399612861598
13067030332,588800.0,0.47779331110872136
13067030334,621000.0,0.5124206903968168
13067030335,602200.0,0.4922034627379288
13067030337,670600.0,0.5657597591138832
13067030340,487700.0,0.36907194321970105
13067030341,438700.0,0.3163781051725992
13067030342,578800.0,0.46703946660931284
13067030343,639600.0,0.5324228411657167
13067030344,204200.0,0.06420045166146897
13067030345,497400.0,0.37950317238412734
13067030346,264600.0,0.12915367243789655
13067030347,345300.0,0.21593719754812346
13067030348,372600.0,0.24529519303150876
13067030349,345600.0,0.21625981288310572
13067030350,427800.0,0.3046564146682439
13067030351,682000.0,0.5780191418432089
13067030352,948600.0,0.8647166361974405
13067030353,387100.0,0.26088826755565114
13067030354,639500.0,0.5323153027207227
13067030355,,
13067030356,421400.0,0.29777395418862246
13067030357,460400.0,0.33971394773631575
13067030358,522100.0,0.4060651682976664
13067030359,588700.0,0.4776857726637273
13067030360,607900.0,0.49833315410259166
13067030361,360200.0,0.23196042585224216
13067030362,408800.0,0.28422411011936766
13067030363,364900.0,0.2370147327669642
13067030364,459600.0,0.33885364017636305
13067030365,624700.0,0.516399612861598
13067030366,597300.0,0.4869340789332186
13067030367,676100.0,0.5716743735885579
13067030368,465400.0,0.34509086998602
13067030369,708100.0,0.6060866759866652
13067030370,710600.0,0.6087751371115173
13067030405,277200.0,0.1427035165071513
13067030407,397600.0,0.27217980428003014
13067030408,468600.0,0.34853210022583075
13067030409,554600.0,0.44101516292074416
13067030410,427700.0,0.30454887622324983
13067030411,237300.0,0.09979567695451123
13067030412,167300.0,0.02451876545865147
13067030413,213400.0,0.07409398860092484
13067030414,,
13067030505,294400.0,0.16120012904613398
13067030506,333500.0,0.2032476610388214
13067030507,382000.0,0.25540380686095276
13067030508,367200.0,0.23948811700182815
13067030509,457300.0,0.33638025594149906
13067030510,360100.0,0.2318528874072481
13067030511,361100.0,0.23292827185718895
13067030602,615800.0,0.5068286912571244
13067030603,429400.0,0.3063770297881493
13067030604,343600.0,0.214109043983224
13067030700,415700.0,0.29164426282395955
13067030800,456900.0,0.33595010216152277
13067030906,493700.0,0.3755242499193462
13067030907,423900.0,0.30046241531347456
13067030908,283600.0,0.14958597698677278
13067030909,241600.0,0.10441983008925691
13067030910,240600.0,0.10334444563931605
13067030911,337700.0,0.20776427572857298
13067030912,421800.0,0.29820410796859875
13067031001,191000.0,0.050005376922249704
13067031004,224300.0,0.08581567910528014
13067031005,299600.0,0.16679212818582642
13067031006,205600.0,0.06570598989138617
13067031007,394300.0,0.2686310355952253
13067031101,411700.0,0.28734272502419617
13067031110,420400.0,0.2966985697386816
13067031111,319600.0,0.1882998171846435
13067031112,542800.0,0.4283256264114421
13067031113,392800.0,0.267017958920314
13067031114,368700.0,0.24110119367673943
13067031115,334000.0,0.2037853532637918
13067031116,322100.0,0.19098827830949563
13067031117,446000.0,0.3242284116571674
13067031118,554100.0,0.44047747069577375
13067031119,317400.0,0.18593397139477363
13067031120,375100.0,0.2479836541563609
13067031121,271400.0,0.13646628669749436
13067031122,374500.0,0.2473384234863964
13067031207,521200.0,0.40509732229271966
13067031209,626100.0,0.5179051510915152
13067031212,1074400.0,1.0
13067031213,379900.0,0.253145499516077
13067031214,430000.0,0.30702226045811376
13067031215,515800.0,0.39929024626303905
13067031216,638900.0,0.5316700720507581
13067031217,433100.0,0.31035595225293044
13067031218,522500.0,0.4064953220776428
13067031219,459900.0,0.3391762555113453
13067031220,434100.0,0.31143133670287126
13067031221,503500.0,0.38606301752876654
13067031306,332800.0,0.20249489192386277
13067031308,272800.0,0.13797182492741156
13067031314,423900.0,0.30046241531347456
13067031315,600900.0,0.4908054629530057
13067031316,390500.0,0.26454457468545006
13067031317,256000.0,0.1199053661684052
13067031318,243500.0,0.10646306054414453
13067031319,223700.0,0.08517044843531563
13067031320,278600.0,0.1442090547370685
13067031321,,
13067031322,218400.0,0.0794709108506291
13067031323,261500.0,0.1258199806430799
13067031324,353700.0,0.22497042692762662
13067031325,420200.0,0.2964834928486934
13067031409,274200.0,0.13947736315732875
13067031410,351800.0,0.222927196472739
13067031411,282000.0,0.1478653618668674
13067031412,144500.0,0.0
13067031413,330000.0,0.19948381546402838
13067031414,344800.0,0.21539950532315302
13067031415,341000.0,0.21131304441337778
13067031416,273200.0,0.13840197870738788
13067031417,212900.0,0.0735562963759544
13067031506,356800.0,0.22830411872244327
13067031507,283600.0,0.14958597698677278
13067031510,307700.0,0.17550274223034734
13067031511,351300.0,0.22238950424776857
13067031512,296600.0,0.16356597483600388
13067031513,307800.0,0.17561028067534143
13067031514,322200.0,0.19109581675448972
13067031515,414200.0,0.29003118614904827
13067031516,415400.0,0.2913216474889773
13067031517,398400.0,0.2730401118399828
13067031518,329600.0,0.19905366168405206
