GEOID,"% Enrolled in nursery school, preschool, 2024","% Enrolled in nursery school, preschool, 2024 (normalized)"
13067030104,7.3,0.3080168776371308
13067030107,2.2,0.09282700421940929
13067030108,4.0,0.16877637130801687
13067030109,0.0,0.0
13067030110,13.1,0.5527426160337553
13067030111,5.2,0.21940928270042195
13067030112,0.0,0.0
13067030113,3.9,0.16455696202531644
13067030220,0.0,0.0
13067030233,6.2,0.2616033755274262
13067030235,1.3,0.05485232067510549
13067030236,2.7,0.1139240506329114
13067030240,8.7,0.36708860759493667
13067030241,7.3,0.3080168776371308
13067030242,5.0,0.2109704641350211
13067030243,4.4,0.18565400843881857
13067030244,2.3,0.0970464135021097
13067030245,7.3,0.3080168776371308
13067030246,8.4,0.35443037974683544
13067030247,1.5,0.06329113924050633
13067030248,3.6,0.1518987341772152
13067030249,9.1,0.38396624472573837
13067030250,5.0,0.2109704641350211
13067030251,3.8,0.16033755274261602
13067030252,5.5,0.2320675105485232
13067030253,11.8,0.4978902953586498
13067030254,6.7,0.28270042194092826
13067030255,6.4,0.27004219409282704
13067030256,1.2,0.05063291139240506
13067030257,3.2,0.13502109704641352
13067030258,4.4,0.18565400843881857
13067030259,14.3,0.6033755274261604
13067030260,9.4,0.3966244725738397
13067030261,4.6,0.1940928270042194
13067030262,13.9,0.5864978902953587
13067030263,11.2,0.47257383966244726
13067030264,1.8,0.0759493670886076
13067030265,1.7,0.07172995780590717
13067030266,3.1,0.1308016877637131
13067030267,5.1,0.2151898734177215
13067030268,10.2,0.430379746835443
13067030269,1.6,0.06751054852320676
13067030270,13.5,0.569620253164557
13067030271,2.0,0.08438818565400844
13067030272,1.4,0.05907172995780591
13067030273,4.5,0.189873417721519
13067030274,3.7,0.15611814345991562
13067030275,1.0,0.04219409282700422
13067030276,5.2,0.21940928270042195
13067030277,0.0,0.0
13067030278,0.0,0.0
13067030319,9.4,0.3966244725738397
13067030322,11.9,0.5021097046413503
13067030324,2.3,0.0970464135021097
13067030326,7.8,0.3291139240506329
13067030327,3.9,0.16455696202531644
13067030329,7.3,0.3080168776371308
13067030331,9.0,0.379746835443038
13067030332,4.6,0.1940928270042194
13067030334,7.5,0.31645569620253167
13067030335,5.1,0.2151898734177215
13067030337,5.4,0.2278481012658228
13067030340,6.7,0.28270042194092826
13067030341,14.0,0.5907172995780591
13067030342,1.6,0.06751054852320676
13067030343,10.0,0.4219409282700422
13067030344,5.4,0.2278481012658228
13067030345,14.2,0.5991561181434599
13067030346,0.0,0.0
13067030347,5.2,0.21940928270042195
13067030348,1.8,0.0759493670886076
13067030349,6.3,0.26582278481012656
13067030350,1.3,0.05485232067510549
13067030351,12.0,0.5063291139240507
13067030352,5.0,0.2109704641350211
13067030353,0.0,0.0
13067030354,11.9,0.5021097046413503
13067030355,6.9,0.2911392405063291
13067030356,0.0,0.0
13067030357,3.3,0.13924050632911392
13067030358,1.1,0.046413502109704644
13067030359,4.3,0.18143459915611815
13067030360,12.9,0.5443037974683544
13067030361,1.1,0.046413502109704644
13067030362,6.8,0.2869198312236287
13067030363,4.2,0.17721518987341772
13067030364,12.7,0.5358649789029536
13067030365,13.3,0.5611814345991561
13067030366,18.5,0.7805907172995781
13067030367,11.1,0.46835443037974683
13067030368,10.1,0.42616033755274263
13067030369,10.0,0.4219409282700422
13067030370,4.0,0.16877637130801687
13067030405,2.7,0.1139240506329114
13067030407,0.0,0.0
13067030408,1.8,0.0759493670886076
13067030409,4.7,0.19831223628691985
13067030410,9.3,0.3924050632911393
13067030411,4.0,0.16877637130801687
13067030412,1.7,0.07172995780590717
13067030413,21.6,0.9113924050632912
13067030414,3.5,0.14767932489451477
13067030505,0.0,0.0
13067030506,6.8,0.2869198312236287
13067030507,6.8,0.2869198312236287
13067030508,1.9,0.08016877637130801
13067030509,14.3,0.6033755274261604
13067030510,5.3,0.22362869198312235
13067030511,5.8,0.24472573839662448
13067030602,6.5,0.2742616033755274
13067030603,17.9,0.7552742616033755
13067030604,23.7,1.0
13067030700,4.0,0.16877637130801687
13067030800,2.6,0.10970464135021098
13067030906,5.2,0.21940928270042195
13067030907,2.5,0.10548523206751055
13067030908,0.6,0.02531645569620253
13067030909,11.5,0.48523206751054854
13067030910,14.7,0.620253164556962
13067030911,3.0,0.12658227848101267
13067030912,3.4,0.14345991561181434
13067031001,4.4,0.18565400843881857
13067031004,8.3,0.3502109704641351
13067031005,0.0,0.0
13067031006,0.0,0.0
13067031007,7.3,0.3080168776371308
13067031101,4.7,0.19831223628691985
13067031110,16.6,0.7004219409282701
13067031111,6.8,0.2869198312236287
13067031112,16.7,0.7046413502109704
13067031113,9.4,0.3966244725738397
13067031114,3.5,0.14767932489451477
13067031115,2.4,0.10126582278481013
13067031116,8.1,0.34177215189873417
13067031117,9.8,0.4135021097046414
13067031118,15.2,0.6413502109704641
13067031119,2.6,0.10970464135021098
13067031120,15.5,0.6540084388185654
13067031121,1.6,0.06751054852320676
13067031122,10.3,0.4345991561181435
13067031207,0.0,0.0
13067031209,11.1,0.46835443037974683
13067031212,2.0,0.08438818565400844
13067031213,8.8,0.37130801687763715
13067031214,3.2,0.13502109704641352
13067031215,1.5,0.06329113924050633
13067031216,21.5,0.9071729957805907
13067031217,18.6,0.7848101265822786
13067031218,4.8,0.20253164556962025
13067031219,5.0,0.2109704641350211
13067031220,7.5,0.31645569620253167
13067031221,6.1,0.2573839662447257
13067031306,1.0,0.04219409282700422
13067031308,8.5,0.35864978902953587
13067031314,3.7,0.15611814345991562
13067031315,18.8,0.7932489451476794
13067031316,1.4,0.05907172995780591
13067031317,4.7,0.19831223628691985
13067031318,1.4,0.05907172995780591
13067031319,5.1,0.2151898734177215
13067031320,7.7,0.3248945147679325
13067031321,0.0,0.0
13067031322,11.1,0.46835443037974683
13067031323,3.9,0.16455696202531644
13067031324,7.4,0.31223628691983124
13067031325,8.0,0.33755274261603374
13067031409,7.7,0.3248945147679325
13067031410,0.0,0.0
13067031411,7.5,0.31645569620253167
13067031412,10.1,0.42616033755274263
13067031413,5.7,0.24050632911392406
13067031414,9.6,0.4050632911392405
13067031415,0.0,0.0
13067031416,17.0,0.7172995780590717
13067031417,0.0,0.0
13067031506,1.1,0.046413502109704644
13067031507,2.9,0.12236286919831224
13067031510,4.5,0.189873417721519
13067031511,9.3,0.3924050632911393
13067031512,4.6,0.1940928270042194
13067031513,1.4,0.05907172995780591
13067031514,5.0,0.2109704641350211
13067031515,10.0,0.4219409282700422
13067031516,4.9,0.2067510548523207
13067031517,2.3,0.0970464135021097
13067031518,0.0,0.0
