GEOID,"% Renter-occupied housing units, 2024","% Renter-occupied housing units, 2024 (normalized)"
13067030104,48.2,0.5211267605633803
13067030107,17.8,0.8269617706237424
13067030108,11.7,0.8883299798792756
13067030109,32.4,0.6800804828973843
13067030110,29.0,0.7142857142857143
13067030111,21.8,0.7867203219315896
13067030112,65.4,0.3480885311871227
13067030113,15.1,0.8541247484909457
13067030220,10.9,0.8963782696177063
13067030233,1.8,0.9879275653923542
13067030235,4.9,0.9567404426559356
13067030236,1.4,0.9919517102615694
13067030240,21.8,0.7867203219315896
13067030241,8.1,0.9245472837022133
13067030242,9.1,0.9144869215291751
13067030243,16.9,0.836016096579477
13067030244,2.2,0.9839034205231388
13067030245,18.5,0.8199195171026157
13067030246,43.3,0.5704225352112677
13067030247,74.6,0.25553319919517103
13067030248,72.6,0.2756539235412475
13067030249,54.7,0.45573440643863183
13067030250,1.9,0.9869215291750503
13067030251,4.6,0.959758551307847
13067030252,6.5,0.9406438631790744
13067030253,9.4,0.9114688128772636
13067030254,13.0,0.8752515090543259
13067030255,40.5,0.5985915492957747
13067030256,2.3,0.9828973843058351
13067030257,53.5,0.4678068410462777
13067030258,52.1,0.4818913480885312
13067030259,36.0,0.6438631790744467
13067030260,45.7,0.5462776659959758
13067030261,13.3,0.8722334004024145
13067030262,12.1,0.8843058350100603
13067030263,23.2,0.7726358148893361
13067030264,3.0,0.9758551307847082
13067030265,3.6,0.9698189134808853
13067030266,0.9,0.9969818913480886
13067030267,1.2,0.993963782696177
13067030268,0.6,1.0
13067030269,6.1,0.9446680080482898
13067030270,5.8,0.9476861167002012
13067030271,9.8,0.9074446680080482
13067030272,13.4,0.8712273641851107
13067030273,5.7,0.948692152917505
13067030274,21.5,0.789738430583501
13067030275,44.2,0.5613682092555332
13067030276,9.8,0.9074446680080482
13067030277,2.1,0.9849094567404426
13067030278,49.5,0.5080482897384306
13067030319,10.5,0.9004024144869215
13067030322,2.8,0.9778672032193159
13067030324,6.2,0.9436619718309859
13067030326,5.0,0.9557344064386318
13067030327,19.7,0.8078470824949698
13067030329,16.9,0.836016096579477
13067030331,2.9,0.9768611670020121
13067030332,4.0,0.96579476861167
13067030334,9.9,0.9064386317907445
13067030335,3.8,0.9678068410462777
13067030337,4.0,0.96579476861167
13067030340,4.6,0.959758551307847
13067030341,9.8,0.9074446680080482
13067030342,5.0,0.9557344064386318
13067030343,1.3,0.9929577464788732
13067030344,86.7,0.13380281690140838
13067030345,84.9,0.1519114688128772
13067030346,14.9,0.8561368209255533
13067030347,19.2,0.8128772635814889
13067030348,14.7,0.858148893360161
13067030349,13.0,0.8752515090543259
13067030350,22.8,0.7766599597585513
13067030351,4.1,0.9647887323943662
13067030352,12.0,0.8853118712273642
13067030353,44.2,0.5613682092555332
13067030354,21.1,0.7937625754527163
13067030355,99.3,0.007042253521126751
13067030356,80.7,0.19416498993963782
13067030357,6.4,0.9416498993963782
13067030358,3.2,0.9738430583501007
13067030359,7.6,0.9295774647887324
13067030360,3.2,0.9738430583501007
13067030361,14.8,0.8571428571428572
13067030362,8.5,0.920523138832998
13067030363,9.6,0.9094567404426559
13067030364,11.8,0.8873239436619719
13067030365,9.0,0.9154929577464789
13067030366,4.4,0.9617706237424547
13067030367,7.6,0.9295774647887324
13067030368,10.5,0.9004024144869215
13067030369,0.7,0.9989939637826962
13067030370,2.3,0.9828973843058351
13067030405,51.7,0.4859154929577465
13067030407,26.9,0.7354124748490947
13067030408,43.3,0.5704225352112677
13067030409,3.4,0.971830985915493
13067030410,52.1,0.4818913480885312
13067030411,87.2,0.1287726358148893
13067030412,80.6,0.1951710261569417
13067030413,83.1,0.17002012072434614
13067030414,100.0,0.0
13067030505,82.3,0.17806841046277666
13067030506,49.0,0.5130784708249497
13067030507,9.5,0.9104627766599598
13067030508,30.1,0.7032193158953722
13067030509,2.5,0.9808853118712274
13067030510,25.8,0.7464788732394366
13067030511,29.7,0.7072434607645876
13067030602,30.3,0.7012072434607646
13067030603,66.0,0.3420523138832998
13067030604,60.4,0.39839034205231394
13067030700,42.5,0.5784708249496981
13067030800,44.8,0.5553319919517103
13067030906,34.3,0.6609657947686117
13067030907,26.8,0.7364185110663984
13067030908,26.8,0.7364185110663984
13067030909,19.2,0.8128772635814889
13067030910,38.4,0.619718309859155
13067030911,50.0,0.5030181086519114
13067030912,57.2,0.43058350100603626
13067031001,60.4,0.39839034205231394
13067031004,64.3,0.35915492957746487
13067031005,26.9,0.7354124748490947
13067031006,66.1,0.34104627766599604
13067031007,80.9,0.19215291750503016
13067031101,60.7,0.3953722334004024
13067031110,32.5,0.6790744466800804
13067031111,32.9,0.6750503018108652
13067031112,29.7,0.7072434607645876
13067031113,78.0,0.22132796780684105
13067031114,76.9,0.232394366197183
13067031115,20.7,0.7977867203219317
13067031116,43.9,0.5643863179074446
13067031117,15.1,0.8541247484909457
13067031118,24.9,0.755533199195171
13067031119,24.3,0.761569416498994
13067031120,18.7,0.8179074446680081
13067031121,61.6,0.3863179074446681
13067031122,32.9,0.6750503018108652
13067031207,78.2,0.2193158953722334
13067031209,7.7,0.9285714285714286
13067031212,11.3,0.892354124748491
13067031213,31.8,0.6861167002012072
13067031214,56.8,0.4346076458752516
13067031215,53.2,0.4708249496981891
13067031216,65.7,0.34507042253521125
13067031217,63.1,0.3712273641851107
13067031218,59.3,0.409456740442656
13067031219,83.1,0.17002012072434614
13067031220,57.2,0.43058350100603626
13067031221,24.5,0.7595573440643864
13067031306,29.8,0.7062374245472838
13067031308,38.4,0.619718309859155
13067031314,10.1,0.9044265593561368
13067031315,8.6,0.9195171026156942
13067031316,14.6,0.8591549295774648
13067031317,27.8,0.7263581488933601
13067031318,48.3,0.5201207243460766
13067031319,51.1,0.4919517102615695
13067031320,82.6,0.17505030181086523
13067031321,66.9,0.3329979879275653
13067031322,28.2,0.7223340040241448
13067031323,27.5,0.7293762575452716
13067031324,9.9,0.9064386317907445
13067031325,7.4,0.93158953722334
13067031409,29.2,0.7122736418511066
13067031410,16.9,0.836016096579477
13067031411,36.7,0.6368209255533199
13067031412,61.9,0.38329979879275655
13067031413,60.2,0.4004024144869216
13067031414,16.3,0.8420523138832998
13067031415,35.4,0.6498993963782697
13067031416,10.7,0.8983903420523139
13067031417,42.5,0.5784708249496981
13067031506,18.1,0.823943661971831
13067031507,38.0,0.6237424547283703
13067031510,19.8,0.8068410462776661
13067031511,24.7,0.7575452716297787
13067031512,16.1,0.8440643863179074
13067031513,10.8,0.89738430583501
13067031514,10.7,0.8983903420523139
13067031515,5.3,0.9527162977867203
13067031516,15.4,0.8511066398390342
13067031517,25.5,0.7494969818913482
13067031518,14.6,0.8591549295774648
